MACHINE-DERIVED INSTRUMENTATION + GENRE / STYLE
ACI-A2L-SI-009
NOT AUTHORITATIVE SONG FACTS
NOT A SONG INTELLIGENCE RECORD
AST AudioSet tags are MACHINE-DERIVED sigmoid scores, not calibrated probabilities.
CLAP Energy / Acoustic / Vocal results were not replaced.

engine: transformers ASTForAudioClassification
checkpoint: MIT/ast-finetuned-audioset-10-10-0.4593
revision: f826b80d28226b62986cc218e5cec390b1096902
model_license: bsd-3-clause
software_license: Apache-2.0 (transformers, huggingface_hub); BSD-style (torch); ISC (librosa)
device: cpu
source_sha256: bbc700259ab80a6ae0e390403a9849f31e5dec54784bd4040f1f4e54d58b80be
score_kind: sigmoid_score is the mean AudioSet multi-label sigmoid over 10.24s chunks; it is a model-native ranking score, not a calibrated probability
source_preprocessing: in-memory librosa load to 16 kHz mono float32 for AST; source WAV was not overwritten, remastered, or normalized on disk

RAW TOP AUDIOSET TAGS
1. Music                                sigmoid=0.7304
discrimination: STILL WEAK top_margin=0.014172635972499847 spread=0.0653574979660334 strong_count=0

INSTRUMENT GROUPS (deterministic max of native members; raw preserved above)
1. guitar_family                        sigmoid=0.0654
2. plucked_other                        sigmoid=0.0512
3. drums_percussion                     sigmoid=0.0092
4. synthesizer_electronic               sigmoid=0.0028
5. strings_bowed                        sigmoid=0.0028
6. keyboard_piano_organ                 sigmoid=0.0012
7. brass                                sigmoid=0.0005
8. woodwind                             sigmoid=0.0004

GENRE / STYLE (native AudioSet subset)
1. Grunge                               sigmoid=0.1673
2. Independent music                    sigmoid=0.1099
3. Rock and roll                        sigmoid=0.0833
4. Rock music                           sigmoid=0.0790
5. Progressive rock                     sigmoid=0.0595
6. Country                              sigmoid=0.0554
7. Punk rock                            sigmoid=0.0403
8. Psychedelic rock                     sigmoid=0.0315
9. Heavy metal                          sigmoid=0.0314
10. Pop music                            sigmoid=0.0308
11. Bluegrass                            sigmoid=0.0277
12. Blues                                sigmoid=0.0161
13. Rhythm and blues                     sigmoid=0.0130
14. Dance music                          sigmoid=0.0108
15. Ska                                  sigmoid=0.0094
16. Jazz                                 sigmoid=0.0070
17. Christian music                      sigmoid=0.0068
18. Funk                                 sigmoid=0.0057
19. Soul music                           sigmoid=0.0039
20. Gospel music                         sigmoid=0.0026
21. Music of Asia                        sigmoid=0.0026
22. Middle Eastern music                 sigmoid=0.0024
23. Disco                                sigmoid=0.0022
24. Electronic music                     sigmoid=0.0020
25. Folk music                           sigmoid=0.0019
26. New-age music                        sigmoid=0.0018
27. Music of Africa                      sigmoid=0.0012
28. Techno                               sigmoid=0.0012
29. Music for children                   sigmoid=0.0011
30. Reggae                               sigmoid=0.0010
31. Afrobeat                             sigmoid=0.0010
32. Music of Latin America               sigmoid=0.0009
33. House music                          sigmoid=0.0009
34. Classical music                      sigmoid=0.0008
35. Swing music                          sigmoid=0.0008
36. Flamenco                             sigmoid=0.0008
37. Electronica                          sigmoid=0.0007
38. Hip hop music                        sigmoid=0.0007
39. Traditional music                    sigmoid=0.0006
40. Ambient music                        sigmoid=0.0005
41. Music of Bollywood                   sigmoid=0.0005
42. Trance music                         sigmoid=0.0004
43. Carnatic music                       sigmoid=0.0003
44. Electronic dance music               sigmoid=0.0003
45. Dubstep                              sigmoid=0.0002
46. Salsa music                          sigmoid=0.0002
47. Drum and bass                        sigmoid=0.0001
48. Opera                                sigmoid=0.0001

GENRE / STYLE RESULT: WIN
discrimination: USEFUL top_margin=0.05733160674571991 spread=0.16713261874974705 strong_count=1

ENGINE #3 RESULT: PARTIAL PASS
MUSICAL VALIDATION: PENDING JAY
